Model,Scenario,Region,Variable,unit,subannual,2050
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 00:00+1,2.126190561
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 01:00+1,122.5634561
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 02:00+1,112.0903771
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 03:00+1,1.849362433
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 04:00+1,60.7673256
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 05:00+1,26.85588473
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 06:00+1,163.9208809
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 07:00+1,58.19700937
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 08:00+1,29.33670339
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 09:00+1,40.82093583
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 10:00+1,80.60978279
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 11:00+1,1.515233884
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 12:00+1,192.447848
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 13:00+1,165.5099432
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 14:00+1,152.3555915
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 15:00+1,155.9156427
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 16:00+1,129.477127
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 17:00+1,137.5209847
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 18:00+1,35.51816519
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 19:00+1,98.33056156
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 20:00+1,66.67483167
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 21:00+1,49.4699355
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 22:00+1,52.21463055
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-01 23:00+1,82.00486275
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-02 00:00+1,156.1265881
Frigg 0.1.0,DKFlex,Denmark,Final Energy|Electricity|Heat,MWh/hour,01-02 01:00+1,40.26104608
