HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;9.71199E-05;9.99749E-05;0.000124813;0.000130646;9.1069E-05;7.87865E-05;0.000110701;9.71807E-05;0.000119651;0.000117593;0.000106696;0.000108534;9.78482E-05;0.000113601;8.58289E-05;7.19697E-05;9.63379E-05;0.000116509;9.43124E-05;0.000100929;0.000118902;0.000106304;9.43193E-05;0.000105042;9.89748E-05;0.000109444;9.96741E-05;9.23737E-05;0.000139765;0.000106696
2;Q1N;9.17795E-05;9.38213E-05;0.000120702;0.000127685;8.93514E-05;7.58469E-05;0.000104771;9.32438E-05;0.000116022;0.000116303;0.000103639;0.000102329;9.32363E-05;0.000108608;8.2269E-05;7.012E-05;9.30207E-05;0.000115034;8.96698E-05;9.67334E-05;0.000114142;0.000104671;9.08753E-05;0.000100014;0.000101014;0.000106418;9.50403E-05;8.78776E-05;0.000136079;0.000103639
3;Q1N;8.79793E-05;8.81545E-05;0.00011459;0.000123319;8.86516E-05;7.27843E-05;9.78363E-05;8.67824E-05;0.000113499;0.00011048;9.58239E-05;9.52457E-05;8.60623E-05;0.000100016;7.77377E-05;6.74296E-05;8.8203E-05;0.000113583;8.51706E-05;9.28029E-05;0.000109817;0.000102758;8.68833E-05;9.54535E-05;9.9037E-05;0.000102383;9.07848E-05;8.39265E-05;0.000127456;9.58239E-05
4;Q1N;8.32723E-05;8.36465E-05;0.000109618;0.000116035;8.66953E-05;6.98749E-05;9.31924E-05;8.0808E-05;0.000112214;0.000103204;9.03126E-05;8.98014E-05;8.15273E-05;9.13455E-05;7.39437E-05;6.55799E-05;8.35344E-05;0.000112287;8.18867E-05;8.67953E-05;0.000106716;0.000101139;8.53179E-05;9.23291E-05;9.23791E-05;9.93568E-05;8.8326E-05;8.17466E-05;0.00011956;9.03126E-05
5;Q1N;8.297E-05;8.14563E-05;0.000105312;0.000108154;8.54548E-05;6.87979E-05;8.97408E-05;7.70538E-05;0.000113154;9.96384E-05;8.77507E-05;9.16162E-05;7.97338E-05;8.60041E-05;7.1023E-05;6.42347E-05;8.06297E-05;0.000112225;8.08558E-05;8.15004E-05;0.000105629;0.000100007;8.40655E-05;9.17545E-05;8.60256E-05;9.91046E-05;8.74749E-05;8.32453E-05;0.000112944;8.77507E-05
6;Q1N;8.40208E-05;8.13868E-05;0.000104367;0.000105535;8.36576E-05;6.76087E-05;8.93015E-05;7.56779E-05;0.000115332;9.88115E-05;8.85042E-05;9.39578E-05;8.00669E-05;8.20562E-05;7.07509E-05;6.44028E-05;8.00768E-05;0.000112373;7.99409E-05;7.84457E-05;0.000105175;0.000101934;8.47699E-05;9.18982E-05;8.06083E-05;9.99872E-05;8.87989E-05;8.3654E-05;0.000111555;8.85042E-05
7;Q1M;8.46686E-05;8.19083E-05;0.000102506;0.00010234;8.24806E-05;6.41468E-05;9.46672E-05;7.56941E-05;0.000115213;9.90248E-05;8.94515E-05;9.57725E-05;8.19117E-05;7.99273E-05;7.27064E-05;6.27213E-05;8.15511E-05;0.000115019;8.01935E-05;7.64499E-05;0.000103358;0.000104435;8.76661E-05;9.30115E-05;7.87785E-05;0.000101374;9.00282E-05;8.51527E-05;0.000110784;8.94515E-05
8;Q1M;8.82096E-05;7.94167E-05;0.000103923;9.78459E-05;8.16218E-05;6.39806E-05;9.93425E-05;7.64693E-05;0.000117152;9.91122E-05;9.06355E-05;9.40749E-05;8.26034E-05;8.05853E-05;7.32349E-05;6.49073E-05;8.42715E-05;0.000119053;7.86232E-05;7.5839E-05;0.000101501;0.000106885;8.93098E-05;9.04258E-05;8.04446E-05;0.000103644;8.99337E-05;8.5289E-05;0.000108483;9.06355E-05
9;Q1M;9.27007E-05;8.02974E-05;0.000108284;9.63976E-05;8.1749E-05;6.56425E-05;9.79305E-05;7.541E-05;0.000116819;9.81593E-05;9.56087E-05;9.18503E-05;8.60879E-05;8.07015E-05;7.35545E-05;6.62525E-05;8.74307E-05;0.000121808;7.78108E-05;7.08292E-05;0.000102114;0.000108798;7.78036E-05;9.24728E-05;8.1132E-05;0.000104274;9.26761E-05;9.06025E-05;0.00011344;9.56087E-05
10;Q1P;9.83434E-05;8.26615E-05;0.000115285;9.79737E-05;8.77609E-05;7.03519E-05;0.000103171;7.61487E-05;0.000117949;0.000101932;0.000101012;9.94606E-05;9.06742E-05;7.94629E-05;7.81396E-05;6.6757E-05;9.10199E-05;0.00012379;8.15726E-05;7.27842E-05;0.000102311;0.000109743;8.23435E-05;9.77159E-05;8.31386E-05;0.000108561;9.8161E-05;9.49623E-05;0.000121756;0.000101012
11;Q1P;0.000103972;8.73549E-05;0.000116285;9.91451E-05;9.32161E-05;7.60045E-05;0.00011136;8.26669E-05;0.000120163;0.000105683;0.000107686;0.00010631;9.54654E-05;8.75911E-05;8.25285E-05;6.97837E-05;9.7584E-05;0.000127434;8.46791E-05;7.94232E-05;0.000101738;0.000113197;8.45351E-05;0.000101056;9.11123E-05;0.000112596;0.000102322;9.89134E-05;0.000126349;0.000107686
