HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.42;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
2;Q1N;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.55;0.23011715;0.50313386;0.22581299;0.46;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
3;Q1N;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.54;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
4;Q1N;0.43298654;0.33562514;0.23877411;0.31;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.44;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
5;Q1N;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.43;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
6;Q1N;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.43;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
7;Q1M;0.43298654;0.33562514;0.23877411;0.26;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.44;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
8;Q1M;0.43298654;0.33562514;0.23877411;0.26;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.54;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
9;Q1M;0.43298654;0.33562514;0.23877411;0.25;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.46;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
10;Q1P;0.43298654;0.33562514;0.23877411;0.24;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.57;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
