HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05
2;Q1N;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05
3;Q1N;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05
4;Q1N;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05;4.19346E-05
5;Q1N;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05;5.59128E-05
6;Q1N;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826
7;Q1M;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673;0.000209673
8;Q1M;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782
9;Q1M;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782;0.000139782
10;Q1P;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826
11;Q1P;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804
12;Q1P;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804;0.000125804
13;Q1P;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376;0.00015376
14;Q1P;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738;0.000167738
15;Q1A;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629
16;Q1A;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564;0.000279564
17;Q1A;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629;0.000237629
18;Q1A;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695;0.000195695
19;Q1A;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826;0.000111826
20;Q1N;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05;8.38692E-05
21;Q1N;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05;6.9891E-05
22;Q1N;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05
23;Q1N;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05
24;Q1N;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05
25;Q1N;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05;1.39782E-05
26;Q1N;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05;2.79564E-05
