HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;1.850449492;1.823113356;1.878760237;1.802170408;1.856208771;2.654309567;1.707056189;1.80259812;1.69943451;1.813481903;1.878760237;1.878760237;1.878760237;1.81043497;1.969611381;1.823113356;1.797814372;1.69943451;1.877792134;1.996738941;1.878760237;1.69943451;1.878760237;1.878760237;1.81043497;1.80259812;1.80259812;1.80259812;1.878760237;1.878760237
2;Q1N;1.861259544;1.834905193;1.890507948;1.815297861;1.864281376;2.73087619;1.890765747;1.895799556;1.860668853;1.824685168;1.890507948;1.890507948;1.890507948;1.821400005;2.114930106;1.834905193;1.807991295;1.860668853;1.885731277;2.099248516;1.890507948;1.860668853;1.890507948;1.890507948;1.821400005;1.895799556;1.895799556;1.895799556;1.890507948;1.890507948
3;Q1N;1.911006812;1.884942465;1.949508531;1.870428844;1.90352042;2.743637293;1.915040421;1.910033729;1.880976475;1.876963717;1.949508531;1.949508531;1.949508531;1.873669935;2.26024883;1.884942465;1.852579783;1.880976475;1.921794561;2.20175809;1.949508531;1.880976475;1.949508531;1.949508531;1.873669935;1.910033729;1.910033729;1.910033729;1.949508531;1.949508531
4;Q1N;1.932626915;1.908526139;1.973003952;1.89668375;1.919665631;2.769159501;1.915040421;1.910033729;1.880976475;1.899370246;1.973003952;1.973003952;1.973003952;1.895600005;2.405567555;1.908526139;1.872933628;1.880976475;1.937672846;2.304267665;1.973003952;1.880976475;1.973003952;1.973003952;1.895600005;1.910033729;1.910033729;1.910033729;1.973003952;1.973003952
5;Q1N;1.943436967;1.920317976;1.984751662;1.909811203;1.927738237;2.794681708;1.925183592;1.917098561;1.888881455;1.91057351;1.984751662;1.984751662;1.984751662;1.90656504;2.550886279;1.920317976;1.88311055;1.888881455;1.945611989;2.40677724;1.984751662;1.888881455;1.984751662;1.984751662;1.90656504;1.917098561;1.917098561;1.917098561;1.984751662;1.984751662
6;Q1N;1.982374184;1.958563411;2.032004535;1.951814734;1.958904675;2.845726123;1.925183592;1.917098561;1.888881455;1.951648795;2.032004535;2.032004535;2.032004535;1.947869935;2.638430174;1.958563411;1.917522116;1.888881455;1.97373613;2.47135268;2.032004535;1.888881455;2.032004535;2.032004535;1.947869935;1.917098561;1.917098561;1.917098561;2.032004535;2.032004535
7;Q1M;1.993184236;1.970355248;2.043752245;1.964942187;1.966977281;2.884009434;1.935326762;1.924163393;1.896786436;1.962852059;2.043752245;2.043752245;2.043752245;1.95883497;2.72597407;1.970355248;1.927699038;1.896786436;1.981675273;2.53592812;2.043752245;1.896786436;2.043752245;2.043752245;1.95883497;1.924163393;1.924163393;1.924163393;2.043752245;2.043752245
8;Q1M;2.016297556;1.995022731;2.06978063;1.991089136;1.985768298;2.960576056;1.939315096;1.924267902;1.901284097;1.987921247;2.06978063;2.06978063;2.06978063;1.983751054;2.785443173;1.995022731;1.949409806;1.901284097;1.998641112;2.577752552;2.06978063;1.901284097;2.06978063;2.06978063;1.983751054;1.924267902;1.924267902;1.924267902;2.06978063;2.06978063
9;Q1M;2.377664542;2.361748857;2.444659241;2.352793644;2.324022064;3.203037026;2.231325155;2.188237611;2.128347847;2.425129884;2.444659241;2.444659241;2.444659241;2.409468538;3.92360818;2.361748857;2.342863188;2.128347847;2.316272074;3.328342611;2.444659241;2.128347847;2.444659241;2.444659241;2.409468538;2.188237611;2.188237611;2.188237611;2.444659241;2.444659241
10;Q1P;2.278170005;2.261674312;2.326658075;2.242531677;2.245543976;3.139231508;2.136811487;2.125594708;2.049843213;2.320572784;2.326658075;2.326658075;2.326658075;2.304928678;3.741881352;2.261674312;2.253686211;2.049843213;2.244145506;3.206546896;2.326658075;2.049843213;2.326658075;2.326658075;2.304928678;2.125594708;2.125594708;2.125594708;2.326658075;2.326658075
