HOUR;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.42;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
2;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.55;0.23011715;0.50313386;0.22581299;0.46;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
3;0.43298654;0.33562514;0.23877411;0.32;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.54;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
4;0.43298654;0.33562514;0.23877411;0.31;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.44;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
5;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.43;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
6;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.43;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
7;0.43298654;0.33562514;0.23877411;0.26;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.53;0.23011715;0.50313386;0.22581299;0.44;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
8;0.43298654;0.33562514;0.23877411;0.26;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.54;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
9;0.43298654;0.33562514;0.23877411;0.25;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.46;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
10;0.43298654;0.33562514;0.23877411;0.24;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.57;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
11;0.43298654;0.33562514;0.23877411;0.25;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.58;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
12;0.43298654;0.33562514;0.23877411;0.25;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.6;0.23011715;0.50313386;0.22581299;0.49;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
13;0.43298654;0.33562514;0.23877411;0.25;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.61;0.23011715;0.50313386;0.22581299;0.5;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
14;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.62;0.23011715;0.50313386;0.22581299;0.51;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
15;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.62;0.23011715;0.50313386;0.22581299;0.51;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
16;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.63;0.23011715;0.50313386;0.22581299;0.52;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
17;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.64;0.23011715;0.50313386;0.22581299;0.54;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
18;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.66;0.23011715;0.50313386;0.22581299;0.56;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
19;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.66;0.23011715;0.50313386;0.22581299;0.57;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
20;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.66;0.23011715;0.50313386;0.22581299;0.56;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
21;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.65;0.23011715;0.50313386;0.22581299;0.55;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
22;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.64;0.23011715;0.50313386;0.22581299;0.53;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
23;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.62;0.23011715;0.50313386;0.22581299;0.51;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
24;0.43298654;0.33562514;0.23877411;0.3;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.61;0.23011715;0.50313386;0.22581299;0.49;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
25;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.59;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
26;0.43298654;0.33562514;0.23877411;0.3;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.58;0.23011715;0.50313386;0.22581299;0.46;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
27;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.57;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
28;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.44;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
29;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.56;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
30;0.43298654;0.33562514;0.23877411;0.28;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.57;0.23011715;0.50313386;0.22581299;0.45;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
31;0.43298654;0.33562514;0.23877411;0.29;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.58;0.23011715;0.50313386;0.22581299;0.47;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
32;0.43298654;0.33562514;0.23877411;0.27;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.63;0.23011715;0.50313386;0.22581299;0.51;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
33;0.43298654;0.33562514;0.23877411;0.26;0.37443734;0.46523953;0.46523953;0.30982809;0.67244093;0.46588095;0.3413189;0.56525496;0.71252753;0.56294764;0.27751806;0.23216031;0.33562514;0.69;0.23011715;0.50313386;0.22581299;0.56;0.3621861;0.29379456;0.27268445;0.27643942;0.27643942;0.26846163;0.408445624;0.3413189
