HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Q1N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Q1N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Q1N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Q1N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Q1N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Q1M;0;0;0.000001;0;0;0;0;0;0;0;0.000012;0.000001625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.16667E-06;0.000012
8;Q1M;0;0;0.091485;0;0;0;0;0;0;0;0.048466;0.017493875;0.001353;0;0.004393;0;0;0;0.000336;0;0.076092;0;0;0.000022;0;0;0;0;0.0580939;0.048466
9;Q1M;0.090863;0;0.267589;0.01719;0.031044;0.002448;0;0.000318;0;0.002157;0.152327;0.094149;0.056888;0;0.091104;0;0;0;0.060592;0;0.250859;0;0.055546;0.055634;0;0;0.006668;0.000712;0.185117833;0.152327
10;Q1P;0.243526;0.009544;0.4134;0.1066;0.120811;0.021459;0.013361;0.033525;0.000171;0.024615;0.251998;0.22193525;0.159438;0;0.230589;0.000789;0.005482;0.000108;0.15835;0.044984;0.389728;0.001013;0.185014;0.185721;0.003607;0.002495;0.037512;0.007904;0.307491667;0.251998
11;Q1P;0.363415;0.056449;0.499939;0.192157;0.187575;0.045764;0.059322;0.115582;0.000699;0.066832;0.314246;0.332709375;0.268227;0.015604;0.343478;0.00625;0.048133;0.015275;0.222884;0.156534;0.472915;0.009321;0.307915;0.306255;0.048935;0.006972;0.080186;0.016343;0.389210333;0.314246
12;Q1P;0.427454;0.117074;0.525036;0.259288;0.203751;0.062619;0.096495;0.232624;0.000757;0.113019;0.339333;0.421185375;0.354273;0.053475;0.403026;0.013675;0.120897;0.040358;0.247934;0.285328;0.494881;0.020309;0.417519;0.373261;0.117871;0.006913;0.102068;0.021678;0.426608567;0.339333
13;Q1P;0.429704;0.176264;0.494902;0.285648;0.194749;0.06608;0.115529;0.330495;0.000436;0.147022;0.334651;0.445051375;0.405241;0.110646;0.40748;0.014646;0.19369;0.048169;0.229522;0.427792;0.459736;0.024036;0.455143;0.362761;0.162888;0.003579;0.101006;0.017192;0.4185039;0.334651
14;Q1P;0.374232;0.20682;0.404894;0.222163;0.142248;0.054977;0.106046;0.377709;0.00004;0.143996;0.287331;0.393449125;0.347031;0.18405;0.348749;0.011799;0.218526;0.03189;0.164955;0.468252;0.364527;0.015526;0.409228;0.302089;0.176218;0.000423;0.058582;0.006705;0.351753533;0.287331
