HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;0;0.888432752;0.025901336;0;0;1;0.997101113;0.361;0.245232578;0.721691311;0.99;0.579;0;0.964189521;0.087658073;0;0.969683855;0.675;0.513394149;0.028884188;0.166;0.965949468;0.482094761;0;0.778650199;0.999502839;1;1;0.953;0.931
2;Q1N;0;0.779151203;0.027916865;0;0;0.968963804;0.982227491;0.346;0.269999484;0.667041235;0.992;0.559;0;0.966577137;0.096854935;0;0.903028695;0.644;0.514759941;0.02597862;0.168;0.967011894;0.483288568;0;0.738370494;0.999537859;1;1;0.947;0.919
3;Q1N;0;0.621748092;0.0244085;0;0;0.891549737;0.966344093;0.327;0.257642094;0.609883694;0.993;0.528;0;0.965343642;0.08527785;0;0.755562904;0.6;0.518078938;0.024269811;0.176;0.962634262;0.482671821;0;0.761093111;0.999620309;1;1;0.941;0.912
4;Q1N;0;0.485346574;0.022763987;0;0;0.787946589;0.930741576;0.314;0.248251869;0.575051586;0.992;0.583;0;0.964282312;0.07532989;0;0.610813813;0.603;0.521104602;0.026333569;0.181;0.954677638;0.482141156;0;0.780873421;0.999702466;1;1;0.933;0.913
5;Q1N;0;0.382161651;0.022161398;0;0;0.678798646;0.885404432;0.279;0.241820934;0.569605514;0.987;0.699;0;0.963397885;0.066946368;0;0.484760083;0.62;0.524611372;0.032313615;0.165;0.937244467;0.481698943;0;0.795925131;0.999783301;1;1;0.929;0.913
6;Q1N;0;0.319210857;0.023030713;0;0;0.573234477;0.828722166;0.28;0.238332257;0.590479707;0.976;0.791;0;0.962694282;0.060059652;0;0.388136613;0.653;0.528353739;0.043706881;0.144;0.921174486;0.481347141;0;0.80649822;0.999861797;1;1;0.921;0.906
7;Q1M;0;0.299128901;0.001264053;0;0;0.476571802;0.770577297;0.326;0.237757833;0.6359002;0.951;0.834;0;0.962174448;0.054586867;0;0.327397464;0.658;0.532327028;0.062653361;0.108;0.905700641;0.481087224;0;0.820292203;0.99993693;1;1;0.908;0.897
8;Q1M;0;0.322237595;0.000240402;0;0;0.388347633;0.697262688;0.372;0.240060744;0.69716485;0.899;0.843;0;0.961840463;0.050402795;0;0.304755073;0.662;0.536525972;0.090808444;0.074;0.891275035;0.485739583;0;0.836512649;1;1;1;0.876;0.892
9;Q1M;0;0.335408387;0;0;0;0.413932446;0.663962171;0.281;0.218071854;0.680726496;0.809;0.82;0;0.964530422;0.040892178;0;0.363741651;0.694;0.539766087;0.089110515;0.05;0.843979411;0.487145466;0;0.856214534;0.999964886;1;1;0.85;0.89
10;Q1P;0;0.349643346;0;0;0;0.44739223;0.629920045;0.236;0.201367227;0.666041459;0.68;0.782;0;0.967264961;0.033079575;0;0.430896976;0.709;0.543200039;0.094676787;0.029;0.781709792;0.489201557;0;0.880317226;0.999920411;1;1;0.787;0.915
11;Q1P;0;0.364908331;0.000242329;0;0;0.488446899;0.595845521;0.289;0.189856583;0.651678889;0.575;0.67;0;0.970032077;0.026827534;0;0.504847032;0.689;0.546827005;0.107708296;0.02;0.717571576;0.492505927;0;0.895727314;0.999874489;1;1;0.697;0.952
12;Q1P;0;0.381179925;0.000233932;0;0;0.536450466;0.562360425;0.348;0.183459937;0.639351293;0.486;0.562;0;0.972820266;0.022084668;0;0.584018588;0.653;0.549258896;0.129914381;0.014;0.655259682;0.497617815;0;0.911943979;0.999827376;1;1;0.623;0.972
13;Q1P;0;0.398432152;0.000225173;0;0;0.590585064;0.530039964;0.443;0.182147403;0.629187847;0.393;0.494;0;0.975617976;0.018723949;0;0.66662381;0.594;0.552032593;0.163235464;0.01;0.596073152;0.504975187;0;0.931163488;0.999779323;1;1;0.603;0.969
14;Q1P;0;0.41663625;0.000220783;0;0;0.649807716;0.4994031;0.458;0.185954237;0.616868367;0.403;0.451;0;0.978413616;0.018606193;0;0.744858447;0.516;0.554959016;0.208758665;0.014;0.54143474;0.51486972;0;0.937940079;0.999730582;1;1;0.637;0.949
15;Q1A;0;0.414100047;0.000229523;0;0;0.635757459;0.479943945;0.373;0.180418441;0.618007367;0.521;0.444;0;0.973810994;0.014216376;0;0.739835979;0.439;0.525061281;0.219625545;0.03;0.510108431;0.509262479;0;0.935604732;0.999687551;1;1;0.722;0.922
16;Q1A;0;0.411980049;0;0;0;0.628363429;0.465094895;0.433;0.17566156;0.619906223;0.697;0.493;0;0.942440806;0.009920242;0;0.738545253;0.437;0.49557557;0.231099792;0.058;0.482989468;0.490664411;0;0.931633223;0.99964418;1;1;0.775;0.869
17;Q1A;0;0.410274341;0.001364677;0;0;0.628153874;0.45510274;0.48;0.171757262;0.625244518;0.826;0.572;0;0.903337329;0.009099643;0;0.740999796;0.438;0.466925804;0.243159162;0.091;0.459179144;0.468573204;0;0.926924022;0.999600636;1;1;0.762;0.773
18;Q1A;0;0.408984323;0.005335464;0;0;0.641483843;0.450595682;0.456;0.168766124;0.628013752;0.872;0.603;0;0.870948333;0.008786288;0;0.747163813;0.463;0.440341408;0.255793788;0.12;0.438996154;0.45019178;0;0.915996739;0.999557068;1;1;0.703;0.677
19;Q1A;0;0.408111095;0.00928256;0;0;0.648459863;0.44887936;0.455;0.165575197;0.631569245;0.884;0.592;0;0.847359559;0.009266361;0;0.756940124;0.528;0.415621483;0.268988447;0.136;0.422681737;0.436539289;0;0.900749499;0.927481904;0.940099372;0.940099372;0.637;0.672
20;Q1N;0;0.407655483;0.032609184;0;0;0.662734316;0.452139007;0.49;0.163548412;0.635950833;0.898;0.562;0;0.833956421;0.011671545;0;0.77017356;0.581;0.392955811;0.28271915;0.136;0.410432738;0.428282309;0;0.885329394;0.855596889;0.903338681;0.903338681;0.569;0.729
21;Q1N;0;0.403789277;0.030933852;0;0;0.66490695;0.443115776;0.482;0.145215675;0.63724026;0.912;0.504;0;0.827328574;0.016379798;0;0.759632112;0.642;0.360801485;0.26484919;0.125;0.427103507;0.423668282;0;0.862925042;0.766279569;0.818485976;0.818485976;0.524;0.754
22;Q1N;0;0.401002095;0.030065195;0;0;0.670525489;0.44307414;0.51;0.127777549;0.637361903;0.923;0.371;0;0.817919779;0.024652951;0;0.752107082;0.675;0.334069229;0.249016671;0.098;0.451931181;0.417811011;0;0.842834838;0.674112346;0.741130554;0.741130554;0.512;0.74
23;Q1N;0;0.399298451;0.028323114;0;0;0.685984428;0.453419018;0.507;0.112489216;0.642135453;0.931;0.213;0;0.790680974;0.037447181;0;0.747649588;0.671;0.313808083;0.235294264;0.068;0.484556813;0.403186069;0;0.820194088;0.581033484;0.675443124;0.675443124;0.501;0.71
24;Q1N;0;0.398680497;0.027542394;0;0;0.708945778;0.474408395;0.477;0.098136973;0.648674252;0.931;0.093;0;0.772303457;0.055431875;0;0.746210747;0.695;0.300410998;0.223746147;0.044;0.523862688;0.393138256;0;0.799213997;0.488941422;0.624616198;0.624616198;0.516;0.695
25;Q1N;0;0.399149145;0.026529668;0;0;0.733253237;0.505174525;0.432;0.084761467;0.656100151;0.924;0.045;0;0.758956553;0.078956924;0;0.747623425;0.797;0.29411017;0.214427694;0.027;0.56867259;0.385751036;0;0.780543637;0.399730213;0.590898402;0.590898402;0.537;0.71
26;Q1N;0;0.400704085;0.026330705;0;0;0.753553026;0.544964763;0.412;0.072400228;0.662861766;0.917;0.035;0;0.750541276;0.110165475;0;0.750146349;0.869;0.295031017;0.207383738;0.021;0.617337325;0.380973339;0;0.763837152;0.315287564;0.575661145;0.575661145;0.56;0.731
27;Q1N;0;0.36128396;0.028216344;0;0;0.744595397;0.522281694;0.376;0.064285342;0.644838698;0.919;0.024;0;0.733398469;0.103379632;0;0.703147592;0.907;0.275376104;0.209850708;0.024;0.587395647;0.372046711;0;0.717482631;0.360216265;0.596164771;0.596164771;0.597;0.744
28;Q1N;0;0.323474326;0.030865696;0;0;0.734061126;0.506561544;0.393;0.056886111;0.627391224;0.923;0.017;0;0.735604804;0.100417237;0;0.656887432;0.924;0.261705653;0.213009527;0.028;0.565500975;0.37295081;0;0.673252559;0.418023379;0.617896601;0.617896601;0.624;0.738
29;Q1N;0;0.287470161;0.034215468;0;0;0.725935594;0.496752001;0.395;0.050212809;0.610572302;0.927;0.024;0;0.757565265;0.101215005;0;0.600927071;0.932;0.253997202;0.21687218;0.029;0.552499705;0.38383678;0;0.637768198;0.487604443;0.640776099;0.640776099;0.626;0.709
30;Q1N;0;0.253444543;0.038199147;0;0;0.718299528;0.492955022;0.425;0.044267264;0.594427362;0.927;0.04;0;0.797878396;0.105806234;0;0.544477047;0.937;0.252136282;0.221445719;0.026;0.548814469;0.403972526;0;0.59650321;0.567272096;0.664718865;0.664718865;0.617;0.668
31;Q1M;0;0.221554966;0.042752071;0;0;0.712622941;0.495186046;0.421;0.039047121;0.578997953;0.924;0.051;0;0.853222982;0.1142951;0;0.491433253;0.931;0.255912464;0.226733151;0.022;0.554972096;0.431689562;0;0.569309783;0.654784928;0.68963348;0.68963348;0.562;0.625
32;Q1M;0;0.191940546;0.047814018;0;0;0.705639542;0.503361406;0.453;0.03454562;0.564321209;0.919;0.047;0;0.918720534;0.126830851;0;0.441069383;0.92;0.265023252;0.232733691;0.013;0.570258998;0.464565098;0;0.550900055;0.747409739;0.715421626;0.715421626;0.441;0.577
33;Q1M;0;0.168417729;0.040465691;0;0;0.701344107;0.523514708;0.475;0.025474835;0.527834531;0.902;0.033;0;0.908800513;0.13419777;0;0.390651444;0.913;0.280938314;0.233076176;0.034;0.573744712;0.4592058;0;0.514888783;0.774764769;0.74742374;0.74742374;0.307;0.534
34;Q1P;0;0.153061075;0.035752536;0;0;0.700880469;0.549561416;0.506;0.019883833;0.499990307;0.86;0.041;0;0.911429892;0.143441098;0;0.351588019;0.899;0.30064957;0.236577378;0.065;0.579383217;0.460797807;0;0.500894383;0.803508959;0.78257789;0.78257789;0.249;0.53
35;Q1P;0;0.145640082;0.033397784;0;0;0.704372375;0.581112828;0.556;0.017513747;0.483984768;0.79;0.092;0;0.905771314;0.154741773;0;0.325117527;0.895;0.323729259;0.243238265;0.088;0.587196987;0.452885657;0;0.510448467;0.833403911;0.820402508;0.820402508;0.197;0.561
36;Q1P;0;0.14599989;0.015716616;0;0;0.70987774;0.617706751;0.608;0.019217757;0.469379674;0.709;0.153;0;0.906966902;0.168179546;0;0.312043992;0.891;0.350662863;0.253032513;0.095;0.597167419;0.453483451;0;0.543416448;0.864222097;0.860368302;0.860368302;0.142;0.594
37;Q1P;0;0.154153059;0.013183368;0;0;0.719503332;0.658938495;0.615;0.010896436;0.465824591;0.612;0.214;0;0.914393649;0.183750504;0;0.312877353;0.871;0.380961098;0.26590147;0.092;0.609235485;0.457196824;0;0.597949295;0.895719855;0.901887224;0.901887224;0.114;0.62
38;Q1P;0;0.17027572;0.011849314;0;0;0.731232955;0.70498373;0.579;0.011293564;0.473390206;0.521;0.257;0;0.927670909;0.201388489;0;0.32790533;0.834;0.414379363;0.281748693;0.078;0.623307707;0.463835455;0;0.670648755;0.927638055;0.944315127;0.944315127;0.129;0.637
39;Q1A;0;0.22340698;0.013648584;0;0;0.704614411;0.713128198;0.578;0.011413141;0.541676233;0.453;0.282;0;0.905681543;0.146343887;0;0.38326931;0.793;0.405558537;0.278607078;0.051;0.650400573;0.452840772;0;0.689266098;0.922525593;0.904252418;0.904252418;0.174;0.657
40;Q1A;0;0.288860143;0.032649288;0;0;0.694650385;0.724082938;0.603;0.011629933;0.61658214;0.408;0.286;0;0.883272103;0.101651507;0;0.454836545;0.734;0.398968061;0.276348113;0.041;0.678353405;0.441636051;0;0.711573682;0.918866846;0.863505515;0.863505515;0.185;0.647
41;Q1A;0;0.365548773;0.035244944;0;0;0.691861261;0.737070779;0.562;0.011942009;0.694797857;0.365;0.266;0;0.860554965;0.06774608;0;0.539867045;0.695;0.394557318;0.27495259;0.041;0.706873589;0.430277482;0;0.736764547;0.916681582;0.822396108;0.822396108;0.146;0.612
42;Q1A;0;0.451779039;0.041876621;0;0;0.688552086;0.751949785;0.534;0.0123473;0.77167741;0.321;0.243;0;0.837640559;0.044343771;0;0.634500826;0.69;0.392005954;0.274402424;0.047;0.734484896;0.418820279;0;0.768718802;0.915985153;0.78123626;0.78123626;0.105;0.577
43;Q1A;0;0.545368566;0.052344964;0;0;0.691764364;0.768656508;0.549;0.012843476;0.828083055;0.235;0.246;0;0.814638601;0.030232524;0;0.720408467;0.715;0.390937447;0.274678486;0.058;0.756672615;0.4073193;0;0.784997153;0.916782519;0.740326616;0.740326616;0.08;0.547
44;Q1N;0;0.643766453;0.066201752;0;0;0.701412883;0.788924328;0.526;0.022740694;0.850435416;0.172;0.257;0;0.791657993;0.023205493;0;0.795028301;0.741;0.388370855;0.275761647;0.079;0.779426336;0.400918185;0;0.80190391;0.919068249;0.699955234;0.699955234;0.069;0.524
45;Q1N;0;0.574835884;0.056858079;0;0;0.737134988;0.777525475;0.511;0.022081803;0.845110523;0.122;0.246;0;0.785450679;0.022432084;0;0.781596443;0.743;0.411263647;0.291477514;0.117;0.772850783;0.397767649;0;0.810243477;0.885489076;0.73448107;0.73448107;0.063;0.521
46;Q1N;0;0.510264337;0.050832366;0;0;0.775197686;0.774390754;0.459;0.02155377;0.816248211;0.072;0.228;0;0.789902532;0.022490258;0;0.770057672;0.714;0.435785393;0.309239362;0.151;0.77404778;0.399966833;0;0.820641067;0.855735975;0.771682466;0.771682466;0.057;0.539
47;Q1N;0;0.451200252;0.047641748;0;0;0.812238524;0.779754882;0.405;0.021183328;0.778046649;0.03;0.221;0;0.795049032;0.023265214;0;0.75794133;0.699;0.460700457;0.32907558;0.183;0.783159252;0.402530346;0;0.832594112;0.830471129;0.811113297;0.811113297;0.054;0.563
