HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
1;Q1N;0.471745;0.692193;0.041694;0.522566;0.445627;0.323166667;0.683625;0.392517;0.395619;0.588213;0.186243;0.030123;0.427998;0.462456;0.058092;0.750499;0.669453;0.374279;0.566897;0.296416;0.042649;0.501854;0;0.217932473;0.524194;0.562109;0.617225;0.684143;0.182597318;0.186243
2;Q1N;0.47084;0.617322;0.040206;0.521005;0.438944;0.321;0.606882;0.372106;0.401183;0.557316;0.189562;0.03114;0.427943;0.475628;0.057806;0.743239;0.577402;0.354676;0.560471;0.272477;0.041194;0.501076;0;0.232502665;0.511546;0.606445;0.60887;0.690822;0.182362251;0.189562
3;Q1N;0.467799;0.542449;0.041485;0.513434;0.438053;0.316166667;0.530274;0.35321;0.419442;0.526203;0.197487;0.032565;0.420332;0.484734;0.056509;0.731952;0.480275;0.338307;0.557324;0.25871;0.040414;0.49905;0;0.224416762;0.509673;0.652948;0.618942;0.709158;0.180882323;0.197487
4;Q1N;0.452668;0.475982;0.041099;0.508305;0.43725;0.321666667;0.461677;0.335363;0.431933;0.499932;0.208158;0.034522;0.400283;0.478003;0.056541;0.723835;0.388435;0.32939;0.554472;0.24792;0.037646;0.49055;0;0.218161784;0.514684;0.68317;0.626868;0.719045;0.180880221;0.208158
5;Q1N;0.444057;0.414331;0.036929;0.510013;0.434456;0.3285;0.406189;0.338887;0.452831;0.469808;0.215471;0.036761;0.384038;0.466663;0.051368;0.708653;0.309583;0.32412;0.553527;0.243171;0.035111;0.476589;0;0.213790432;0.522896;0.702915;0.629387;0.72138;0.183798135;0.215471
6;Q1N;0.441711;0.380839;0.02994;0.523547;0.431515;0.312;0.354842;0.345464;0.462999;0.448581;0.224306;0.040602;0.382129;0.455271;0.041129;0.712968;0.255019;0.324938;0.547751;0.242975;0.03491;0.451703;0;0.211341912;0.53742;0.701792;0.625211;0.717267;0.189629341;0.224306
7;Q1M;0.439986;0.356278;0.021893;0.535541;0.437608;0.308333333;0.309356;0.346458;0.479263;0.427641;0.233788;0.046557;0.381243;0.44982;0.031298;0.697374;0.222501;0.330089;0.541673;0.241075;0.035757;0.425178;0.149866208;0.210839816;0.557844;0.709222;0.62308;0.716334;0.198356081;0.233788
8;Q1M;0.436111;0.355397;0.015314;0.553657;0.445962;0.318666667;0.277405;0.342922;0.487515;0.416536;0.240756;0.054306;0.377425;0.452374;0.025789;0.690688;0.214226;0.338981;0.535527;0.240451;0.038709;0.392545;0.169494722;0.212290312;0.569439;0.705705;0.620405;0.705451;0.209480877;0.240756
9;Q1M;0.427077;0.358634;0.009455;0.565604;0.448309;0.348333333;0.255131;0.336491;0.501212;0.399559;0.240935;0.061206;0.371015;0.456338;0.024553;0.651497;0.222693;0.345609;0.531291;0.234256;0.04129;0.363423;0.152292017;0.237581374;0.574809;0.715798;0.617253;0.691732;0.211315794;0.240935
10;Q1P;0.414211;0.367183;0.007106;0.568468;0.435821;0.398;0.239408;0.322841;0.497314;0.378036;0.228025;0.06407;0.370724;0.452918;0.024752;0.607087;0.244303;0.34726;0.520331;0.209043;0.036378;0.329924;0.150019483;0.263675213;0.582006;0.709422;0.605753;0.666012;0.214320619;0.228025
