Model,Scenario,Region,Variable,Unit,2050
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Biomass,GW,0.333
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Coal,GW,0.0114648
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Gas,GW,0.014918852841105001
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Hydro,GW,16.2138
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Solar,GW,24.41407299025682
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Wind,GW,26.07972686454599
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Austria,Capacity|Electricity|Wind|Onshore,GW,26.07972686454599
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Biomass,GW,0.18227600599520002
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Coal,GW,10.28544324211418
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Gas,GW,2.572649816503032
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Geothermal,GW,1.17000000000065
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Hydro,GW,37.90761924165263
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Nuclear,GW,17.520489980758256
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Oil,GW,0.198
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Solar,GW,131.74560131146924
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Wind,GW,67.63483109911675
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Wind|Offshore,GW,21.466843352607707
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Balkans,Capacity|Electricity|Wind|Onshore,GW,46.16798774650905
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Biomass,GW,0.21617882621404103
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Gas,GW,1.242859075658481
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Hydro,GW,4.193208561570794
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Solar,GW,9.228252391374639
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Wind,GW,10.16214259591325
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Wind|Offshore,GW,7.060308986686431
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Capacity|Electricity|Wind|Onshore,GW,3.101833609226818
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Baltics,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-0.055142684989157004
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Belgium,Capacity|Electricity|Biomass,GW,0.5373377646213461
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Belgium,Capacity|Electricity|Gas,GW,0.8254620789884941
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Belgium,Capacity|Electricity|Hydro,GW,1.791151639408468
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Belgium,Capacity|Electricity|Solar,GW,40.82790246646086
