Model,Scenario,Region,Variable,Unit,2050
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Austria>Balkans,Maximum Flow|Electricity|Grid,MW,1600
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Austria>Hungary,Maximum Flow|Electricity|Grid,MW,2600
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Austria>Italy,Maximum Flow|Electricity|Grid,MW,6300
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Balkans>Hungary,Maximum Flow|Electricity|Grid,MW,1900
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Baltics>Scandinavia,Maximum Flow|Electricity|Grid,MW,8700
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Belgium>Germany,Maximum Flow|Electricity|Grid,MW,1000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Belgium>France,Maximum Flow|Electricity|Grid,MW,700
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Belgium>The Netherlands,Maximum Flow|Electricity|Grid,MW,3500
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Belgium>United Kingdom,Maximum Flow|Electricity|Grid,MW,5000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Switzerland>Austria,Maximum Flow|Electricity|Grid,MW,2400
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Switzerland>Italy,Maximum Flow|Electricity|Grid,MW,8500
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Czech Republic>Austria,Maximum Flow|Electricity|Grid,MW,7100
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Czech Republic>Poland,Maximum Flow|Electricity|Grid,MW,7100
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Germany>Austria,Maximum Flow|Electricity|Grid,MW,11800
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Germany>Switzerland,Maximum Flow|Electricity|Grid,MW,6000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Germany>Czech Republic,Maximum Flow|Electricity|Grid,MW,4700
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Germany>Poland,Maximum Flow|Electricity|Grid,MW,8100
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Germany>Scandinavia,Maximum Flow|Electricity|Grid,MW,48200
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Spain>France,Maximum Flow|Electricity|Grid,MW,18900
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Spain>Portugal,Maximum Flow|Electricity|Grid,MW,9550
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,France>Belgium,Maximum Flow|Electricity|Grid,MW,4600
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,France>Switzerland,Maximum Flow|Electricity|Grid,MW,9500
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,France>Germany,Maximum Flow|Electricity|Grid,MW,7800
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,France>Ireland,Maximum Flow|Electricity|Grid,MW,6700
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,France>Italy,Maximum Flow|Electricity|Grid,MW,7800
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,France>United Kingdom,Maximum Flow|Electricity|Grid,MW,16000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Hungary>Balkans,Maximum Flow|Electricity|Grid,MW,6400
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Italy>Balkans,Maximum Flow|Electricity|Grid,MW,14600
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Italy>France,Maximum Flow|Electricity|Grid,MW,10000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,The Netherlands>Germany,Maximum Flow|Electricity|Grid,MW,9500
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,The Netherlands>Scandinavia,Maximum Flow|Electricity|Grid,MW,11400
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,The Netherlands>United Kingdom,Maximum Flow|Electricity|Grid,MW,5000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Poland>Baltics,Maximum Flow|Electricity|Grid,MW,9000
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Poland>Scandinavia,Maximum Flow|Electricity|Grid,MW,600
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,Scandinavia>United Kingdom,Maximum Flow|Electricity|Grid,MW,1400
plan4EU_v0.1,plan4resCS3ReferenceWithoutClimateChange_V2.3_Country,United Kingdom>Ireland,Maximum Flow|Electricity|Grid,MW,3600
